Observation date: 10th Nov 2017,,Calibration files: 10thNov/Cals/,,,Gain Flag,Description,,,Flag,Flag definition
Folder,Filename,Filter,x pixel,y pixel,,,,,1,Science image from 10th Nov
,THROUGHPUT_TEST_U_25.fits,u',1083,5060,2,,,,,
,THROUGHPUT_TEST_U_26.fits,u',787,5348,2,,,,,
,THROUGHPUT_TEST_U_27.fits,u',499,5643,2,,,,,
,THROUGHPUT_TEST_U_28.fits,u',194,5932,2,,,,,
1stMar/hz44/throughputTest_U/towardGuider,THROUGHPUT_HORIZ_U_39.fits,u',2945,3495,2,Horizontal test U,,,,
,THROUGHPUT_HORIZ_U_40.fits,u',2657,3486,2,,,,,
,THROUGHPUT_HORIZ_U_41.fits,u',2378,3478,2,,,,,
,THROUGHPUT_HORIZ_U_42.fits,u',2098,3478,2,,,,,
,THROUGHPUT_HORIZ_U_43.fits,u',1811,3478,2,,,,,
,THROUGHPUT_HORIZ_U_44.fits,u',1532,3469,2,,,,,
,THROUGHPUT_HORIZ_U_45.fits,u',1244,3469,2,,,,,
,THROUGHPUT_HORIZ_U_46.fits,u',965,3461,2,,,,,
,THROUGHPUT_HORIZ_U_47.fits,u',677,3461,2,,,,,
,THROUGHPUT_HORIZ_U_48.fits,u',389,3453,2,,,,,
,THROUGHPUT_HORIZ_U_49.fits,u',102,3453,2,,,,,
,THROUGHPUT_HORIZ_U__guide_50.fits,u',989,189,3,,,,,
,THROUGHPUT_HORIZ_U__guide_51.fits,u',697,186,3,,,,,
,THROUGHPUT_HORIZ_U__guide_52.fits,u',405,186,3,,,,,
,THROUGHPUT_HORIZ_U__guide_53.fits,u',396,478,3,,,,,
,THROUGHPUT_HORIZ_U__guide_54.fits,u',393,760,3,,,,,
,THROUGHPUT_HORIZ_U__guide_55.fits,u',385,1049,3,,,,,
,THROUGHPUT_HORIZ_U__guide_56.fits,u',379,1336,3,,,,,
,THROUGHPUT_HORIZ_U__guide_57.fits,u',374,1626,3,,,,,
,THROUGHPUT_HORIZ_U__guide_58.fits,u',362,1916,3,,,,,
1stMar/feige92/throughputTest_R,THROUGHPUT_TEST_R_FEIGE92_5.fits,r',5965,364,2,Diagonal test R,,,,
,THROUGHPUT_TEST_R_FEIGE92_6.fits,r',5660,651,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_7.fits,r',5364,948,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_8.fits,r',5059,1227,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_9.fits,r',4772,1514,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_10.fits,r',4475,1794,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_11.fits,r',4188,2073,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_12.fits,r',3900,2352,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_13.fits,r',3612,2631,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_14.fits,r',3325,2902,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_15.fits,r',2944,3283,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_16.fits,r',2656,3562,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_17.fits,r',2369,3841,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_18.fits,r',2081,4112,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_19.fits,r',1793,4400,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_20.fits,r',1506,4679,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_21.fits,r',1218,4958,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_22.fits,r',930,5246,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_23.fits,r',634,5533,2,,,,,
,THROUGHPUT_TEST_R_FEIGE92_24.fits,r',338,5821,2,,,,,
1stMar/feige92/throughputTest_R/towardGuider,THROUGHPUT_HORIZ_R_FEIGE92_29.fits,r',2936,3350,2,Horizontal test R,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_30.fits,r',2656,3350,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_31.fits,r',2369,3342,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_32.fits,r',2090,3334,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_33.fits,r',1810,3334,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_34.fits,r',1531,3325,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_35.fits,r',1252,3325,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_36.fits,r',964,3325,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_37.fits,r',677,3317,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_38.fits,r',397,3317,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92_39.fits,r',110,3308,2,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_40.fits,r',992,48,3,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_41.fits,r',699,48,3,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_42.fits,r',407,45,3,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_43.fits,r',401,332,3,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_44.fits,r',398,619,3,,,,,
